Pallet,function_name,weight
pallet_sft,fn set_owner(), 65_022_000
pallet_sft,fn set_max_issuance(), 68_551_000
pallet_sft,fn set_base_uri(), 58_889_000
pallet_sft,fn set_name(), 59_283_000
pallet_timestamp,fn set(), 31_845_000
pallet_timestamp,fn on_finalize(), 15_371_000
pallet_token_approvals,fn erc721_approval(), 45_297_000
pallet_token_approvals,fn erc721_remove_approval(), 47_144_000
pallet_token_approvals,fn erc20_approval(), 22_743_000
pallet_token_approvals,fn erc20_update_approval(), 34_807_000
pallet_token_approvals,fn erc721_approval_for_all(), 22_750_000
pallet_token_approvals,fn erc1155_approval_for_all(), 22_919_000
pallet_utility,fn batch(), 34_983_000
pallet_utility,fn as_derivative(), 20_415_000
pallet_utility,fn batch_all(), 35_120_000
pallet_utility,fn dispatch_as(), 40_040_000
pallet_utility,fn force_batch(), 33_658_000
pallet_xls20,fn set_relayer(), 0
pallet_xls20,fn set_relayer(), 0), 39_968_000
pallet_xls20,fn set_xls20_fee(), 39_105_000
pallet_xls20,fn enable_xls20_compatibility(), 61_848_000
pallet_xls20,fn re_request_xls20_mint(), 78_302_000
pallet_xls20,fn fulfill_xls20_mint(), 81_391_000
pallet_xrpl_bridge,fn submit_transaction(), 77_454_000
pallet_xrpl_bridge,fn submit_challenge(), 19_835_000
pallet_xrpl_bridge,fn withdraw_xrp(), 160_961_000
pallet_xrpl_bridge,fn add_relayer(), 47_397_000
pallet_xrpl_bridge,fn remove_relayer(), 59_682_000
pallet_xrpl_bridge,fn set_door_tx_fee(), 15_973_000
pallet_xrpl_bridge,fn set_door_address(), 44_466_000
pallet_xrpl_bridge,fn set_ticket_sequence_next_allocation(), 58_345_000
pallet_xrpl_bridge,fn set_ticket_sequence_current_allocation(), 52_745_000
